Type,Name,Contact,Url,Description,National,State
Business,Lucy Ethiopian Restaurant,713-334-0000,https://www.lucyhouston.com/,Ethiopian Restaurant and Lounge located in Houston,n/a,tx
Business,The Breakfast Klub,713-528-8561,https://thebreakfastklub.com/,Soul and American breakfast restaurant located in Houston.,n/a,tx
Business,Reggae Hut,713-520-7171,https://www.orderreggaehut.com/,Caribbean food restuarant located in Houston.,n/a,tx
Business,Phil & Derek's,281-501-3261,https://philanddereks.com/,Restaurant and Jazz Bar located in Houston,n/a,tx
Business,Suzie's Traditional Fusion Cuisine,713-689-0504,http://letsuziehelp.com/menu.html,Fusion food restaurant located in Houston.,n/a,tx
Organization,American Civil Liberties Union,n/a,https://www.aclu.org/issues/racial-justice,ACLU today is the nation's largest non-profit and non-partisan law firm who select lawsuits that will have the greatest impact for breaking new ground and establishing new precedents that will strengthen American freedoms.,yes,yes
Organization,Black Lives Matter,n/a,https://blacklivesmatter.com/,Founded in response to the aquittal of Trayvon Martin's murderer. BLM's mission is to eradicate white supremacy and build local power to intervene in violence inflicted Black communities by the state and vigilantes.,yes,yes
Organization,Reclaim The Block,n/a,https://www.reclaimtheblock.org/home,Organizes Minneapolis community and city council members to move money from police departments into other areas to promote community health and safety.,yes,n/a
Business,Turkey Leg Hut,832-787-0770,https://theturkeyleghut.com/,Specialized Restaurant which sells Turkey Legs located in Houston,n/a,tx
Organization,Color of Change,n/a,https://colorofchange.org/,"We design campaigns powerful enough to end practices that unfairly hold Black people back, and champion solutions that move us all forward.",yes,n/a
Organization,Advancement Project,n/a,https://advancementproject.org/,"Next generation, multi-racial civil rights organization. We use innovative tools and strategies to strengthen social movements and achieve high impact policy change.",yes,n/a
Business,Burbon Street Daquris,281-861-0836,https://www.daqlife.com/order-online,Resturant Bar located in Houston,n/a,tx
Organization,Moms Demand Action,n/a,https://momsdemandaction.org/,Fighting for public safety measures that can protect people from gun violence. We work to pass stronger gun laws and loopholes that jeopardize the safety of our families.,yes,n/a
Organization,Black Visions Collective,n/a,https://www.blackvisionsmn.org/,"Through the development of powerful strategic campaigns, we seek to expand the power of Black people across the Twin Cities metro area and Minnesota.",n/a,mn
Business,Kulture,713-357-9697,https://www.avenidahouston.com/listings/kulture/29084/,Resturant Bar located in Houston,n/a,tx
Business,Craft Burger,832-291-3651,https://craftburgerfoodtruck.com/,"Food Truck, restaurant, and bar located in Houston.",n/a,tx
Business,Lucille's,713-568-2505,https://lucilleshouston.com/,Southern cuisine restaurant located in Houston.,n/a,tx
Business,This is it! Soul Food,713-521-2920,https://houstonthisisit.com/,Soul food cuisine restaurant located in Houston.,n/a,tx
Business,"""D"" Spot Daiquiri Lounge",281-545-4937,https://www.facebook.com/dspotdaiquirilounge/,Daiquiri lounge located in Richmond.,n/a,tx
Business,Cool Runnings Jamacian Grill,713-777-1566,https://www.coolrunningsjamaicangrill.com/,Jamaican Bar & Grill located in Houston.,n/a,tx
Business,Caribbean Jerk Cuisine,713-784-6626,http://www.caribbeanjerkcuisine.com/,Caribbean food restuarant located in Houston.,n/a,tx
Business,Burns Original BBQ/Burger Shack,281-999-5559,https://burnsoriginalbbq.com/,Barbecue restaurant located in Houston.,n/a,tx
Business,Esther's Cajun Cafe & Soul Food,713-699-1212,https://www.estherscajunsoul.com/,Cajun Soul food located in Houston.,n/a,tx
Organization,Houston Bail Fund,713-370-7490,https://www.houstonbailfund.com/,Bail fund for those in the Houston area. Checkout the bottom of their website for small list of pro-bono lawyers for protestors.,n/a,tx
Organization,North Star Health Collective,northstarhealth@gmail.com,https://www.northstarhealthcollective.org/,"A collection of resources and place to doante for a collective of community resources which include health providers— physicians, nurses, healers, herbalists, doulas",yes,n/a
Organization,Faith in Texas,n/a,https://faithintx.org/,"Faith in Texas is a nonpartisan, multi-racial, multi-faith grassroots movement of people united in values working together to achieve economic, racial, and social justice for all people.",yes,n/a
Organization,Take Action Chapel Hill,n/a,https://www.takeactionch.com/,Support system for anti-racist activists facing charges related to protests against white supremacy at the University of North Carolina at Chapel Hill. We formed the Anti-Racist Activist Fund which provides legal-related funds for defendents in the struggle against white supremacy in Chapel Hill and surrounding areas.,n/a,tx
Organization,Austin Justice Coalition,n/a,https://austinjustice.org/,"serves people who are historically and systematically impacted by gentrification, segregation, over policing, a lack of educational and employment opportunities, and other institutional forms of racism in Austin",n/a,tx
Organization,Dallas Alliance Against Racial and Political Repression,n/a,https://dfwalliance.org/,"We work to end police misconduct, prison profiteering, racist & political repression, and economic injustice. Our strategy is not to merely be reactive to incidents of state sanctioned violence and repression, but to build towards meaningful change in the power dynamic between our neighborhoods and the police.",n/a,tx
Business,Chakula Eats,917-889-5990,https://www.instagram.com/chakula.eats/,"""Garage"" restaurant by order only located in Oakland and East Bay Area.",n/a,ca
Business,Blondery,n/a,https://blondery.com,Bay Area online virtual bakery. 100% minority and woman owned.,n/a,ca
