Type	Name	Contact	Url	Description	national	state
Business	Lucy Ethiopian Restaurant	713-334-0000 	https://www.lucyhouston.com/	Ethiopian Restaurant and Lounge located in Houston	no	tx
Business	The Breakfast Klub	713-528-8561	https://thebreakfastklub.com/	Soul and American breakfast restaurant located in Houston.	no	tx
Business	Reggae Hut	713-520-7171	https://www.orderreggaehut.com/	Caribbean food restuarant located in Houston.	no	tx
Business	Phil & Derek's	281-501-3261	https://philanddereks.com/	Restaurant and Jazz Bar located in Houston	no	tx
Business	Suzie's Traditional Fusion Cuisine	713-689-0504	http://letsuziehelp.com/menu.html	Fusion food restaurant located in Houston.	no 	tx
Organization	American Civil Liberties Union	no	https://www.aclu.org/issues/racial-justice	ACLU today is the nation's largest non-profit and non-partisan law firm who select lawsuits that will have the greatest impact for breaking new ground and establishing new precedents that will strengthen American freedoms.	yes	yes
Organization	Black Lives Matter	no	https://blacklivesmatter.com/	Founded in response to the aquittal of Trayvon Martin's murderer. BLM's mission is to eradicate white supremacy and build local power to intervene in violence inflicted Black communities by the state and vigilantes.	yes	yes
Organization	Reclaim The Block	no	https://www.reclaimtheblock.org/home	Organizes Minneapolis community and city council members to move money from police departments into other areas to promote community health and safety.	yes	no
Business	Turkey Leg Hut	832-787-0770	https://theturkeyleghut.com/	Specialized Restaurant which sells Turkey Legs located in Houston	no	tx
Organization	Color of Change	no	https://colorofchange.org/	We design campaigns powerful enough to end practices that unfairly hold Black people back, and champion solutions that move us all forward.	yes	no
Organization	Advancement Project	no	https://advancementproject.org/	Next generation, multi-racial civil rights organization. We use innovative tools and strategies to strengthen social movements and achieve high impact policy change.	yes	no
Business	Burbon Street Daquris	281-861-0836	https://www.daqlife.com/order-online	Resturant Bar located in Houston	no	tx
Organization	Moms Demand Action	no	https://momsdemandaction.org/	Fighting for public safety measures that can protect people from gun violence. We work to pass stronger gun laws and loopholes that jeopardize the safety of our families.	yes	no
Organization	Black Visions Collective	no	https://www.blackvisionsmn.org/	Through the development of powerful strategic campaigns, we seek to expand the power of Black people across the Twin Cities metro area and Minnesota.	no	mn
Business	Kulture	713-357-9697	https://www.avenidahouston.com/listings/kulture/29084/	Resturant Bar located in Houston	no	tx
Business	Craft Burger	832-291-3651	https://craftburgerfoodtruck.com/	Food Truck, restaurant, and bar located in Houston.	no	tx
Business	Lucille's	713-568-2505	https://lucilleshouston.com/	Southern cuisine restaurant located in Houston.	no	tx
Business 	This is it! Soul Food	713-521-2920	https://houstonthisisit.com/	Soul food cuisine restaurant located in Houston.	no 	tx
Business	"D" Spot Daiquiri Lounge	281-545-4937	https://www.facebook.com/dspotdaiquirilounge/	Daiquiri lounge located in Richmond.	no 	tx
Business	Cool Runnings Jamacian Grill	713-777-1566	https://www.coolrunningsjamaicangrill.com/	Jamaican Bar & Grill located in Houston.	no	tx
Business	Caribbean Jerk Cuisine	713-784-6626	http://www.caribbeanjerkcuisine.com/	Caribbean food restuarant located in Houston.	no	tx
Business	Burns Original BBQ/Burger Shack	281-999-5559	https://burnsoriginalbbq.com/	Barbecue restaurant located in Houston.	no	tx
Business	Esther's Cajun Cafe & Soul Food	713-699-1212	https://www.estherscajunsoul.com/	Cajun Soul food located in Houston.	no	tx
Organization	Houston Bail Fund	713-370-7490	https://www.houstonbailfund.com/	Bail fund for those in the Houston area. Checkout the bottom of their website for small list of pro-bono lawyers for protestors.	no 	tx
Organization 	North Star Health Collective	northstarhealth@gmail.com	https://www.northstarhealthcollective.org/	A collection of resources and place to doante for a collective of community resources which include health providers— physicians, nurses, healers, herbalists, doulas	yes	no
Organization	Faith in Texas	no	https://faithintx.org/	Faith in Texas is a nonpartisan, multi-racial, multi-faith grassroots movement of people united in values working together to achieve economic, racial, and social justice for all people.	yes	no
